,,,,,,,,Python,Java,JavaScript,C,Ruby,Shell,C++,C#,.NET,HTML,NodeJS,AngularJS,SDK,GIT,SCM,Kubernetes,Serverless,IaaC,Microservices,Docker,Ensemble,Safe,Puppet,CICD,Lambda,SQS,SQL,NoSQL,DynamoDB,AWS,GCP,Azure,ELK,EKS,NIST,CIS,ISO 27001,GDPR,CIS v7,CEH,CISSP,CISA,CISM,CompTIA Security+
1,Senior Cybersecurity Analyst,Future Pipe Industries LLC.,8,12,NA,NA,"IT Skills,Java,Python,Ethical Hacking,Java,Certified Ethical Hacker,C++,Cyber Forensics",1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,IT administrator with strong Cybersecurity skills,AmpleLogic,4,8,NA,NA,"Cyber Security,ISO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,Senior Cybersecurity Engineer,Future Pipe Industries LLC.,8,12,NA,NA,"IT Skills,Java,Python,c++,python,cyber security,Ceh,email security",1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Junior Cybersecurity Engineer,Future Pipe Industries LLC.,2,5,NA,NA,"active directory,cyber security,L1,certified ethical hacker,email security,information security,ethical hacking,it service desk",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Cybersecurity Operations Manager,Future Pipe Industries LLC.,8,12,NA,NA,"IT Skills,Java,Python,Software Development,c++,python,operations management,Identity Access Management",1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Cyber Security Risk Analyst,Ingram Micro (I) Pvt Ltd,4,9,NA,NA,"IT Skills,Project Management,BPO,project management,Computer science,Cism,remediation,PMP",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,Cyber Security Analyst,Teamware Solutions,3,5,NA,NA,"Wireless,Computer science,PDF,Information security,database security,Network security,Application security,Nessus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Junior Cyber Security Analyst,Future Pipe Industries LLC.,2,5,NA,NA,"Ethical Hacking,Security Analysis,Certified Ethical Hacker,Cyber Security,Ceh,Service Desk,Information Security,SIEM",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,Information Security Analyst - Cyber Security/ Network Security,Glan Management Consultancy,1,3,NA,NA,"IT Skills,Testing,Ethical Hacking,Cyber Security,Network Protocols,Security Analytics,Network Security,Information Security",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
10,Looking For Cyber Security with Qardar EXP with SME Role,ASM Technologies Ltd,6,11,NA,NA,"thread hunting,Cyber Security,SOC,Information Security,Vulnerability Management,siem,qardar",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,SOC Analyst - Azure/Active Directory/Cyber Security,Insights Techhub International,4,6,NA,NA,"Azure,Cyber Security,Network Security,Network Administration,Office 365,Splunk,QRadar,Active Directory",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Cyber Security Analyst,Hubbell Incorporated,3,6,NA,NA,"C#,IT services,Patch management,Computer science,Business process,Automation,Network security,Business intelligence",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
