
1,DevOps Engineer,IBM India Pvt. Limited,5,7,NA,NA,NA,"0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0"
2,DevOps - Software Principal Engineer,Dell International Services IndiaPrivate Limited,9,12,NA,NA,"IT Skills,Java,Software Development,Cloud,DevOps,Jenkins,AWS,S3","0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0"
3,Senior DevOps Engineer,Expertus InfoTech,6,8,NA,NA,"IT Skills,Python,Cloud,Nginx,Hudson,Sonarqube,Apache,Devops","1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0"
4,DevOps Engineer,GHSL Technologies,5,10,NA,NA,"IT Skills,Cloud,Jenkins,AWS,Azure, Puppet, Chef, DNS","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0"
5,"SRE,Cloud,DevOps Engineer",TVS Next Pvt ltd,6,11,NA,NA,"Terraform,AWS,Kubernetes,IT Skills,Python,Cloud,AWS,Azure","1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0"
6,Azure DevOps Engineer,Asteria Aerospace Pvt Ltd,8,12,NA,NA,"kubernetes,ci / cd,cloud services,workflows,ruby,ansible,docker,puppet","1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0"
7,DevOps Engineer,IBM India Pvt. Limited,4,8,NA,NA,"IT Skills,Python,PHP,Cloud,DevOps,Jenkins,Jenkins,Open Source","1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0"
8,Senior Software Engineer - Devops,CGI Information Systems and Management Consultants    Private Limited,5,7,NA,NA,"IT Skills,Testing,DevOps,Jenkins,Docker,Shell Scripting,Continuous Delivery,Continuous Integration","0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0"
9,Senior Software Engineer - Devops,CGI Information Systems and Management Consultants    Private Limited,5,7,NA,NA,"IT Skills,Testing,DevOps,Jenkins,Docker,Shell Scripting,Continuous Delivery,Continuous Integration","0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
10,Senior DevOps Engineer,CeX WeBuy Entertainment Pvt.Ltd,6,9,12.0,18.0,"TFS,Kibana,Nginx,Teamcity,Solr,Continuous Delivery,chef,Logstash","1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0"
